Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2014,2015,2016,2017,2018,2019,2020,2021,Estimates Start After
Afghanistan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2018 Notes: National accounts data is originally compiled on the basis of a solar year, which runs from March 21 to March 20. Data is converted to calendar years for the purpose of WEO publication. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December. none Base year: 2002. Base year is the solar year 2002/03 Chain-weighted: No",62.948,64.231,66.301,69.501,73.091,76.624,74.792,79.678,2018
Albania,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: IMF Staff Estimates Latest actual data: 2018 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1996 Chain-weighted: Yes, from 1996",31.51,32.545,33.972,35.928,38.301,39.832,38.078,41.926,2018
Algeria,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2001 Chain-weighted: Yes, from 2005",557.368,584.008,608.937,628.47,652.795,668.827,638.363,691.364,2019
Angola,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office. Ministry of Planning Latest actual data: 2018. Starting from the year 2002, historical National Accounts data are provided by Angola?s National Institute of Statistics (INE). Data for prior years are based on different sources and/or estimated by IMF staff, including using a ratio slicing method in order to avoid breaks in the data. Notes: Starting from the year 2002, the composition of aggregate demand was revised taking into account updated information from the authorities? National Accounts statistics. Data for prior years are based on [old information] and/or estimated by IMF staff, including using a ratio slicing method in order to avoid breaks in the data. National accounts manual used: European System of Accounts (ESA) 1995 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2002 Chain-weighted: No",193.882,197.749,194.641,198.009,200.4,200.83,199.329,208.589,2018
Antigua and Barbuda,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: Central Bank Latest actual data: 2018. Preliminary Notes: Historical values for expenditure based GDP components are not reported by authorities and are estimated by IMF staff using data from balance of payments and fiscal accounts.  GDP expenditure component estimates prior 2014 have been removed due to internal inconsistencies arising from methodological changes to international trade estimates from the balance of payments applicable to data reported after 2014. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2006. Nominal GDP is measured at market prices and real GDP is measured at factor cost, hence the GDP deflator is not equal to 100. Chain-weighted: No",1.998,2.097,2.235,2.348,2.583,2.767,2.506,2.758,2018
Argentina,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2004 Chain-weighted: No,853.398,885.833,876.387,916.719,915.749,911.562,864.887,920.972,2018
Armenia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No,24.482,25.542,25.857,28.324,30.534,33.426,33.141,35.399,2018
Aruba,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2017. The Central Bureau of Statistics (CBS) has compiled GDP at current prices by the production and expenditure approaches up to 2009 and has recently done so for the period 2013-17. GDP at constant prices by the expenditure approach has been estimated and disseminated by the Central Bank of Aruba up to 2017. The CBS is still working on the their update and revision of Aruba's National Account Statistics. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: Yes, from 2000",3.966,3.989,4.05,4.223,4.377,4.472,3.883,4.438,2017
Australia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office. Australian Bureau of Statistics (via Haver Analytics) Latest actual data: 2019. Data refer to calendar years National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2017/18. The base period is 2017Q3-2018Q2 Chain-weighted: Yes, from before 1980. Annually-reweighted","1,114.73","1,152.31","1,196.55","1,249.09","1,314.46","1,362.07","1,279.36","1,384.02",2019
Austria,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995",400.074,408.34,421.161,439.718,461.331,476.812,446.265,475.484,2019
Azerbaijan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office Latest actual data: 2018 Notes: Data prior to 2001 cannot be confirmed at this time. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: Yes, from 1994",169.742,173.309,169.739,173.202,180.084,187.346,184.418,189.343,2018
The Bahamas,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2012 Chain-weighted: No,11.293,11.479,11.649,11.877,12.357,12.798,11.807,12.843,2018
Bahrain,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No,61.878,64.312,67.235,71.114,74.271,76.94,74.649,78.377,2018
Bangladesh,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: Bangladesh Bureau of Statistics Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December. Authorities report July/June, we convert to Jan/Dec. Base year: 2005/06. We estimate calendar year data by adding taking the average of two consecutive fiscal years. Please note that the base year will still be in fiscal year regardless of any transformation we make here. Chain-weighted: No",538.751,581.604,629.946,690.486,763.99,838.554,860.916,961.356,2018
Barbados,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office. The National Statistics Office is the primary source of National Accounts Data. Partial data is published on the central bank website. Expenditure side not available. Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2010. Constant price GDP is based on 1974 as base year, compiled by the Central bank of Barbados (CBB). Currently, the Barbados Statistical Services (BSS) ,with the assistance of CARTAC, began compiling constant price GDP by industry using 2010 as base year. Chain-weighted: No",4.782,4.95,5.126,5.247,5.344,5.432,5.051,5.515,2018
Belarus,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: National Statistics Office. Formally, the National Statistical Committee of the Republic of Belarus Latest actual data: 2018 Notes: The national accounts have been updated from 2014 onwards. Prior to 2014 the data are adjusted to produce smooth series with the use of a splicing technique. These estimates continue to serve as proxies for historical series when complete information is unavailable. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: Yes, from 2005",179.363,174.29,171.646,179.307,189.46,195.119,184.593,194.755,2018
Belgium,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"Source: Central Bank. Data before 1995 were spliced with older series. Data from 1995 reflect current official series, following benchmark national account revision 1995-2018 released in Sept 2019. Latest actual data: 2019 National accounts manual used: European System of Accounts (ESA) 2010. ESA 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995. Data before 1995 are spliced with older series.",486.596,501.655,514.508,534.496,555.502,572.902,536.621,572.053,2019
Belize,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No,2.886,2.999,3.033,3.147,3.291,3.358,2.974,3.263,2019
Benin,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,Source: National Statistics Office Latest actual data: 2018 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No,29.716,30.559,31.906,34.351,37.545,40.643,42.749,46.186,2018
